F04,AMNESTIC DISORDER DUE TO KNOWN PHYSIOLOGICAL CONDITION
F05,DELIRIUM DUE TO KNOWN PHYSIOLOGICAL CONDITION
F06,OTHER MENTAL DISORDERS DUE TO KNOWN PHYSIOLOGICAL CONDITION
F063,MOOD DISORDER DUE TO KNOWN PHYSIOLOGICAL CONDITION
F0630,"MOOD DISORDER DUE TO KNOWN PHYSIOLOGICAL CONDITION, UNSP"
F0631,MOOD DISORDER DUE TO KNOWN PHYSIOL COND W DEPRESSV FEATURES
F0632,MOOD DISORD D/T PHYSIOL COND W MAJOR DEPRESSIVE-LIKE EPSD
F0633,MOOD DISORDER DUE TO KNOWN PHYSIOL COND W MANIC FEATURES
F0634,MOOD DISORDER DUE TO KNOWN PHYSIOL COND W MIXED FEATURES
F0634,MOOD DISORDER DUE TO KNOWN PHYSIOL COND W MIXED FEATURES
F064,ANXIETY DISORDER DUE TO KNOWN PHYSIOLOGICAL CONDITION
F068,OTH MENTAL DISORDERS DUE TO KNOWN PHYSIOLOGICAL CONDITION
F07,PERSONALITY & BEHAVRL DISORDERS DUE TO KNOWN PHYSIOL COND
F070,PERSONALITY CHANGE DUE TO KNOWN PHYSIOLOGICAL CONDITION
F078,OTH PERSONALITY & BEHAVRL DISORD DUE TO KNOWN PHYSIOL COND
F0781,POSTCONCUSSIONAL SYNDROME
F0789,OTH PERSONALITY & BEHAVRL DISORD DUE TO KNOWN PHYSIOL COND
F079,UNSP PERSONALITY & BEHAVRL DISORD DUE TO KNOWN PHYSIOL COND
F09,UNSP MENTAL DISORDER DUE TO KNOWN PHYSIOLOGICAL CONDITION
F3481,DISRUPTIVE MOOD DYSREGULATION DISORDER
F3489,OTHER SPECIFIED PERSISTENT MOOD DISORDERS
F39,UNSPECIFIED MOOD [AFFECTIVE] DISORDER
F432,ADJUSTMENT DISORDERS
F4320,"ADJUSTMENT DISORDER, UNSPECIFIED"
F4320,"ADJUSTMENT DISORDER, UNSPECIFIED"
F4321,ADJUSTMENT DISORDER WITH DEPRESSED MOOD
F4321,ADJUSTMENT DISORDER WITH DEPRESSED MOOD
F4322,ADJUSTMENT DISORDER WITH ANXIETY
F4322,ADJUSTMENT DISORDER WITH ANXIETY
F4323,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD
F4323,ADJUSTMENT DISORDER WITH MIXED ANXIETY AND DEPRESSED MOOD
F4324,ADJUSTMENT DISORDER WITH DISTURBANCE OF CONDUCT
F4324,ADJUSTMENT DISORDER WITH DISTURBANCE OF CONDUCT
F4325,ADJUSTMENT DISORDER W MIXED DISTURB OF EMOTIONS AND CONDUCT
