proprietary_name,ndc_package_code,strength,dosage_form,route,appl_no,labeler_name,product_ndc,nonproprietary_name,substance_name,product_type_name,start_marketing_date,end_marketing_date,market_category,package_description,pharm_class,dea,sample_package,listing_record_certified_through,ndc,drug_name,bup_strength_clean
Alfentanil Hydrochloride,17478-067-02,500 ug/mL,INJECTION,INTRAVENOUS,NDA019353,Akorn,17478-067,Alfentanil Hydrochloride,ALFENTANIL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/01/2010,N/A,NDA,10 AMPULE in 1 CARTON (17478-067-02)  / 2 mL in 1 AMPULE,"Full Opioid Agonists [MoA],  Opioid Agonist [EPC]",CII,No,12/31/2023,17478006702,Alfentanil,500
Alfentanil Hydrochloride,17478-067-05,500 ug/mL,INJECTION,INTRAVENOUS,NDA019353,Akorn,17478-067,Alfentanil Hydrochloride,ALFENTANIL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/01/2010,N/A,NDA,10 AMPULE in 1 CARTON (17478-067-05)  / 5 mL in 1 AMPULE,"Full Opioid Agonists [MoA],  Opioid Agonist [EPC]",CII,No,12/31/2023,17478006705,Alfentanil,500
BELBUCA,59385-021-60,75 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-021,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-021-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-021-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,59385002160,Buprenorphine,75
BELBUCA,59385-022-60,150 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-022,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-022-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-022-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,59385002260,Buprenorphine,150
BELBUCA,59385-023-60,300 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-023,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-023-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-023-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,59385002360,Buprenorphine,300
BELBUCA,59385-024-60,450 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-024,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/21/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-024-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-024-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,59385002460,Buprenorphine,450
BELBUCA,59385-025-60,600 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-025,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/24/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-025-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-025-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,59385002560,Buprenorphine,600
BELBUCA,59385-026-60,750 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-026,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-026-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-026-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,59385002660,Buprenorphine,750
BELBUCA,59385-027-60,900 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-027,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/11/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-027-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-027-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,59385002760,Buprenorphine,900
Buprenex,12496-0757-5,.3 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,NDA018401,Indivior Inc.,12496-0757,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/30/1985,N/A,NDA,5 AMPULE in 1 CARTON (12496-0757-5)  / 1 mL in 1 AMPULE (12496-0757-1),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2024,12496075705,Buprenorphine,0.3
