"Characteristic","Number (\%)"
"\textbf{Baseline covariates (months 1-6)}","0 (NaN\%)"
"Age","41 (30, 52)"
"Sex","0 (NaN\%)"
"\hspace{0.5cm}Male","268515 (36.11\%)"
"\hspace{0.5cm}Female","475006 (63.89\%)"
"Race/ethnicity:","0 (NaN\%)"
"\hspace{0.5cm}White, non-Hispanic","322169 (51.56\%)"
"\hspace{0.5cm}AIAN, non-Hispanic","10021 (1.6\%)"
"\hspace{0.5cm}Asian, non-Hispanic","46912 (7.51\%)"
"\hspace{0.5cm}Black, non-Hispanic","104396 (16.71\%)"
"\hspace{0.5cm}Hawaiian/Pacific Islander","4166 (0.67\%)"
"\hspace{0.5cm}Hispanic, all races","136860 (21.9\%)"
"\hspace{0.5cm}Multiracial, non-Hispanic","376 (0.06\%)"
"\hspace{0.5cm}Unknown","118621 (15.95\%)"
"Primary language English","562883 (86.86\%)"
"\hspace{0.5cm}Unknown","95471 (12.84\%)"
"Married/partnered","52034 (20.32\%)"
"\hspace{0.5cm}Unknown","487401 (65.55\%)"
"Household size:","0 (NaN\%)"
"\hspace{0.5cm}1","133272 (64.25\%)"
"\hspace{0.5cm}2","27420 (13.22\%)"
"\hspace{0.5cm}$\geq$ 3","46749 (22.54\%)"
"\hspace{0.5cm}Unknown","536080 (72.1\%)"
"Veteran","944 (0.63\%)"
"\hspace{0.5cm}Unknown","594343 (79.94\%)"
"High income ($>$ 138FPL)","18370 (2.47\%)"
"TANF Benefits","62942 (10.88\%)"
"\hspace{0.5cm}Unknown","165128 (22.21\%)"
"SSI benefits:","0 (NaN\%)"
"\hspace{0.5cm}Mandatory or optional","15979 (4.93\%)"
"\hspace{0.5cm}Not applicable","308103 (95.07\%)"
"\hspace{0.5cm}Unknown","419439 (56.41\%)"
"Psychiatric conditions \& counseling (months 1-6):","0 (NaN\%)"
"\hspace{0.5cm}ADHD","10550 (1.42\%)"
"\hspace{0.5cm}Anxiety","112137 (15.08\%)"
"\hspace{0.5cm}Bipolar","26513 (3.57\%)"
"\hspace{0.5cm}Depression","87457 (11.76\%)"
"\hspace{0.5cm}Other mental illness","43828 (5.89\%)"
