"Characteristic","Number (\%)"
"\textbf{Baseline covariates (months 1-6)}","0 (NaN\%)"
"Age","41 (32, 51)"
"Sex","0 (NaN\%)"
"\hspace{0.5cm}Male","38732 (47.27\%)"
"\hspace{0.5cm}Female","43207 (52.73\%)"
"Race/ethnicity:","0 (NaN\%)"
"\hspace{0.5cm}White, non-Hispanic","51051 (71.13\%)"
"\hspace{0.5cm}AIAN, non-Hispanic","1251 (1.74\%)"
"\hspace{0.5cm}Asian, non-Hispanic","474 (0.66\%)"
"\hspace{0.5cm}Black, non-Hispanic","10293 (14.34\%)"
"\hspace{0.5cm}Hawaiian/Pacific Islander","178 (0.25\%)"
"\hspace{0.5cm}Hispanic, all races","8477 (11.81\%)"
"\hspace{0.5cm}Multiracial, non-Hispanic","43 (0.06\%)"
"\hspace{0.5cm}Unknown","10172 (12.41\%)"
"Primary language English","68371 (98.3\%)"
"\hspace{0.5cm}Unknown","12383 (15.11\%)"
"Married/partnered","3468 (10.48\%)"
"\hspace{0.5cm}Unknown","48846 (59.61\%)"
"Household size:","0 (NaN\%)"
"\hspace{0.5cm}1","23313 (75.11\%)"
"\hspace{0.5cm}2","3565 (11.49\%)"
"\hspace{0.5cm}$\geq$ 3","4160 (13.4\%)"
"\hspace{0.5cm}Unknown","50901 (62.12\%)"
"Veteran","127 (0.76\%)"
"\hspace{0.5cm}Unknown","65280 (79.67\%)"
"High income ($>$ 138FPL)","1219 (1.49\%)"
"TANF Benefits","4825 (7.44\%)"
"\hspace{0.5cm}Unknown","17059 (20.82\%)"
"SSI benefits:","0 (NaN\%)"
"\hspace{0.5cm}Mandatory or optional","2970 (8.57\%)"
"\hspace{0.5cm}Not applicable","31698 (91.43\%)"
"\hspace{0.5cm}Unknown","47271 (57.69\%)"
"Psychiatric conditions \& counseling (months 1-6):","0 (NaN\%)"
"\hspace{0.5cm}ADHD","3319 (4.05\%)"
"\hspace{0.5cm}Anxiety","34857 (42.54\%)"
"\hspace{0.5cm}Bipolar","10575 (12.91\%)"
"\hspace{0.5cm}Depression","24099 (29.41\%)"
"\hspace{0.5cm}Other mental illness","12301 (15.01\%)"
