"Characteristic","Number (\%)"
"\textbf{Baseline covariates (months 1-6)}","0 (NaN\%)"
"Age","41 (31, 52)"
"Sex","0 (NaN\%)"
"\hspace{0.5cm}Male","307247 (37.22\%)"
"\hspace{0.5cm}Female","518213 (62.78\%)"
"Race/ethnicity:","0 (NaN\%)"
"\hspace{0.5cm}White, non-Hispanic","373220 (53.57\%)"
"\hspace{0.5cm}AIAN, non-Hispanic","11272 (1.62\%)"
"\hspace{0.5cm}Asian, non-Hispanic","47386 (6.8\%)"
"\hspace{0.5cm}Black, non-Hispanic","114689 (16.46\%)"
"\hspace{0.5cm}Hawaiian/Pacific Islander","4344 (0.62\%)"
"\hspace{0.5cm}Hispanic, all races","145337 (20.86\%)"
"\hspace{0.5cm}Multiracial, non-Hispanic","419 (0.06\%)"
"\hspace{0.5cm}Unknown","128793 (15.6\%)"
"Primary language English","631254 (87.97\%)"
"\hspace{0.5cm}Unknown","107854 (13.07\%)"
"Married/partnered","55502 (19.19\%)"
"\hspace{0.5cm}Unknown","536247 (64.96\%)"
"Household size:","0 (NaN\%)"
"\hspace{0.5cm}1","156585 (65.66\%)"
"\hspace{0.5cm}2","30985 (12.99\%)"
"\hspace{0.5cm}$\geq$ 3","50909 (21.35\%)"
"\hspace{0.5cm}Unknown","586981 (71.11\%)"
"Veteran","1071 (0.65\%)"
"\hspace{0.5cm}Unknown","659623 (79.91\%)"
"High income ($>$ 138FPL)","19589 (2.37\%)"
"TANF Benefits","67767 (10.53\%)"
"\hspace{0.5cm}Unknown","182187 (22.07\%)"
"SSI benefits:","0 (NaN\%)"
"\hspace{0.5cm}Mandatory or optional","18949 (5.28\%)"
"\hspace{0.5cm}Not applicable","339801 (94.72\%)"
"\hspace{0.5cm}Unknown","466710 (56.54\%)"
"Psychiatric conditions \& counseling (months 1-6):","0 (NaN\%)"
"\hspace{0.5cm}ADHD","13869 (1.68\%)"
"\hspace{0.5cm}Anxiety","146994 (17.81\%)"
"\hspace{0.5cm}Bipolar","37088 (4.49\%)"
"\hspace{0.5cm}Depression","111556 (13.51\%)"
"\hspace{0.5cm}Other mental illness","56129 (6.8\%)"
