"Characteristic","Number (\%)"
"\textbf{Treatments (months 1-3)}","0 (NaN\%)"
"Acetaminophen","29301 (5.72\%)"
"Anti-inflammatory","311188 (60.73\%)"
"Benzodiazepine","46946 (9.16\%)"
"Chiropractic","54307 (10.6\%)"
"Duloxetine","8756 (1.71\%)"
"Gabapentin","53877 (10.51\%)"
"Intervention","13206 (2.58\%)"
"Muscle relaxant","232792 (45.43\%)"
"Massage therapy","54538 (10.64\%)"
"Physical therapy","96439 (18.82\%)"
"Spinal cord stimulation","84 (0.02\%)"
"Steroid","91503 (17.86\%)"
"Opioid","0 (NaN\%)"
"\hspace{0.5cm}$>50$ MME","16141 (3.15\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","31452 (6.14\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","66701 (13.02\%)"
