"Characteristic","Number (\%)"
"\textbf{Baseline covariates (months 1-6)}","0 (NaN\%)"
"Age","41 (30, 52)"
"Sex","0 (NaN\%)"
"\hspace{0.5cm}Male","571236 (36.14\%)"
"\hspace{0.5cm}Female","1009182 (63.86\%)"
"Race/ethnicity:","0 (NaN\%)"
"\hspace{0.5cm}AIAN, non-Hispanic","23243 (1.75\%)"
"\hspace{0.5cm}Asian, non-Hispanic","96373 (7.27\%)"
"\hspace{0.5cm}Black, non-Hispanic","248029 (18.72\%)"
"\hspace{0.5cm}Hawaiian/Pacific Islander","8747 (0.66\%)"
"\hspace{0.5cm}Hispanic, all races","290795 (21.94\%)"
"\hspace{0.5cm}Multiracial, non-Hispanic","665 (0.05\%)"
"\hspace{0.5cm}White, non-Hispanic","657396 (49.61\%)"
"\hspace{0.5cm}Unknown","255170 (16.15\%)"
"Primary language English","1182298 (86.55\%)"
"\hspace{0.5cm}Unknown","214343 (13.56\%)"
"Married/partnered","95353 (18.71\%)"
"\hspace{0.5cm}Unknown","1070893 (67.76\%)"
"Household size:","0 (NaN\%)"
"\hspace{0.5cm}1","267827 (65.03\%)"
"\hspace{0.5cm}2","52932 (12.85\%)"
"\hspace{0.5cm}$\geq$ 3","91102 (22.12\%)"
"\hspace{0.5cm}Unknown","1168557 (73.94\%)"
"Veteran","1886 (0.6\%)"
"\hspace{0.5cm}Unknown","1267682 (80.21\%)"
"High income ($>$ 138FPL)","37048 (2.34\%)"
"TANF Benefits","157459 (12.59\%)"
"\hspace{0.5cm}Unknown","330213 (20.89\%)"
"SSI benefits:","0 (NaN\%)"
"\hspace{0.5cm}Mandatory or optional","42531 (6.32\%)"
"\hspace{0.5cm}Not applicable","630051 (93.68\%)"
"\hspace{0.5cm}Unknown","907836 (57.44\%)"
"Psychiatric conditions \& counseling (months 1-6):","0 (NaN\%)"
"\hspace{0.5cm}Bipolar","58618 (3.71\%)"
"\hspace{0.5cm}Anxiety","258155 (16.33\%)"
"\hspace{0.5cm}ADHD","21590 (1.37\%)"
"\hspace{0.5cm}Depression","188451 (11.92\%)"
"\hspace{0.5cm}Other mental illness","95028 (6.01\%)"
"\hspace{0.5cm}Mental health counseling","123962 (7.84\%)"
"Psychiatric conditions \& counseling (months 7-12):","0 (NaN\%)"
"\hspace{0.5cm}Anxiety","231239 (14.63\%)"
"\hspace{0.5cm}Depression","159448 (10.09\%)"
"\hspace{0.5cm}Bipolar","51485 (3.26\%)"
"\hspace{0.5cm}Mental health counseling","109228 (6.91\%)"
