"Characteristic","Number (\%)"
"\textbf{Treatments (months 1-3)}","0 (NaN\%)"
"Acetaminophen","20257 (5.1\%)"
"Anti-inflammatory","198192 (49.7\%)"
"Benzodiazepine","19743 (5\%)"
"Chiropractic","41757 (10.5\%)"
"Gabapentin","26846 (6.7\%)"
"Intervention","10909 (2.7\%)"
"Muscle relaxant","182583 (45.8\%)"
"Massage therapy","43041 (10.8\%)"
"Physical therapy","75098 (18.8\%)"
"Steroid","67038 (16.8\%)"
"Opioid","91379 (22.9\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","55763 (14\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","23548 (5.9\%)"
"\hspace{0.5cm}$>50$ MME","12068 (3\%)"
"Other treatment","7504 (1.9\%)"
"\textbf{Outcomes (months 4-15)}","0 (NaN\%)"
"OUD or overdose by 9 months","4518 (1.7\%)"
"OUD or overdose by 15 months","4882 (2.5\%)"
"\textbf{Censoring}","0 (NaN\%)"
"Uncensored through 9 months","267051 (67\%)"
"Uncensored through 15 months","194847 (48.9\%)"
