"Characteristic","Number (\%)"
"\textbf{Baseline covariates (months -6 to 0)}","0 (NaN\%)"
"Age","39 (30, 50)"
"Sex","0 (NaN\%)"
"\hspace{0.5cm}Male","107653 (41.4\%)"
"\hspace{0.5cm}Female","152066 (58.6\%)"
"Race/ethnicity:","0 (NaN\%)"
"\hspace{0.5cm}White, non-Hispanic","109139 (48.9\%)"
"\hspace{0.5cm}AIAN, non-Hispanic","4024 (1.8\%)"
"\hspace{0.5cm}Asian, non-Hispanic","19866 (8.9\%)"
"\hspace{0.5cm}Black, non-Hispanic","40167 (18\%)"
"\hspace{0.5cm}Hawaiian/Pacific Islander","1867 (0.8\%)"
"\hspace{0.5cm}Hispanic, all races","48102 (21.5\%)"
"\hspace{0.5cm}Multiracial, non-Hispanic","179 (0.1\%)"
"\hspace{0.5cm}Missing","36375 (14\%)"
"Primary language English","206054 (86.1\%)"
"\hspace{0.5cm}Missing","20268 (7.8\%)"
"Married/partnered","18411 (20.7\%)"
"\hspace{0.5cm}Missing","170796 (65.8\%)"
"Household size:","0 (NaN\%)"
"\hspace{0.5cm}1","45963 (63.4\%)"
"\hspace{0.5cm}2","9245 (12.7\%)"
"\hspace{0.5cm}$\geq$ 3","17313 (23.9\%)"
"\hspace{0.5cm}Missing","187198 (72.1\%)"
"Veteran","430 (0.6\%)"
"\hspace{0.5cm}Missing","188457 (72.6\%)"
"High income ($>$ 138FPL)","5408 (2.1\%)"
"TANF Benefits","25545 (12.6\%)"
"\hspace{0.5cm}Missing","57007 (21.9\%)"
"SSI benefits:","0 (NaN\%)"
"\hspace{0.5cm}Mandatory or optional","3682 (3.4\%)"
"\hspace{0.5cm}Not applicable","104153 (96.6\%)"
"\hspace{0.5cm}Missing","151884 (58.5\%)"
"Psychiatric conditions \& counseling:","0 (NaN\%)"
"\hspace{0.5cm}ADHD","3052 (1.2\%)"
"\hspace{0.5cm}Anxiety","26260 (10.1\%)"
"\hspace{0.5cm}Bipolar","6188 (2.4\%)"
"\hspace{0.5cm}Depression","20525 (7.9\%)"
"\hspace{0.5cm}Other mental illness","10473 (4\%)"
"\hspace{0.5cm}Mental health counseling","21264 (8.2\%)"
"Alcohol use disorder","8388 (3.2\%)"
"Other drug use disorder (non-opioid)","26896 (10.4\%)"
"\textbf{Healthcare Utilization}","0 (NaN\%)"
"Emergency department","0 (NaN\%)"
"\hspace{0.5cm}0","168307 (64.8\%)"
"\hspace{0.5cm}1-2","74510 (28.7\%)"
"\hspace{0.5cm}3+","16902 (6.5\%)"
"Inpatient hospitalizations","0 (NaN\%)"
"\hspace{0.5cm}0","253678 (97.7\%)"
"\hspace{0.5cm}1+","6041 (2.3\%)"
"Outpatient visits","0 (NaN\%)"
"\hspace{0.5cm}0","28337 (10.9\%)"
"\hspace{0.5cm}1-20","209354 (80.6\%)"
"\hspace{0.5cm}21+","22028 (8.5\%)"
