"Characteristic","Number (\%)"
"\textbf{Treatments (months 1-3)}","0 (NaN\%)"
"Acetaminophen","29301 (5.7\%)"
"Anti-inflammatory","311188 (60.7\%)"
"Benzodiazepine","46946 (9.2\%)"
"Chiropractic","54307 (10.6\%)"
"Duloxetine","8756 (1.7\%)"
"Gabapentin","53877 (10.5\%)"
"Intervention","13206 (2.6\%)"
"Muscle relaxant","232792 (45.4\%)"
"Massage therapy","54538 (10.6\%)"
"Physical therapy","96439 (18.8\%)"
"Spinal cord stimulation","84 (0\%)"
"Steroid","91503 (17.9\%)"
"Opioid","0 (NaN\%)"
"\hspace{0.5cm}$>50$ MME","16141 (3.1\%)"
"\hspace{0.5cm}$>7$ days, $\le50$ MME","31452 (6.1\%)"
"\hspace{0.5cm}$\le7$ days, $\le50$ MME","66701 (13\%)"
